StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Q6,IJ Test,GH Test,EF Test,CD Test,AB Test,Attention Check 1,Q39,Q49,Q1,Q3,Q2,Q4,PROLIFIC_PID,FL_21_DO,AttentionCheck_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Prolific ID here:,Were you able to watch and listen to the video?,Which room was louder?,Which room was louder?,Which room was louder?,Which room was louder?,Which room was louder?,"Based on the following text, what would you say is your favorite food? There are thousands of possible choices of favorite foods, and your favorite food may or may not have made this list. Please select madras paneer so we know you are paying attention.",What do you think this study was about?,"When you were asked, ""Which room was louder?"", what aspect of the audio were you focusing on?",What is your age?,What is your gender?,What is your race?,What percentage of time to you speak/hear English at home?,PROLIFIC_PID,FL_21 - Block Randomizer - Display Order,Attention Check - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID29""}","{""ImportId"":""QID28""}","{""ImportId"":""QID27""}","{""ImportId"":""QID8""}","{""ImportId"":""QID48""}","{""ImportId"":""QID9""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""FL_21_DO""}","{""ImportId"":""BL_3eLO8kv74VBlZNI_DO""}"
2021-08-31 12:27:08,2021-08-31 12:35:04,IP Address,137.165.171.143,100,476,True,2021-08-31 12:35:04,R_1DnDwIfy53ODQ7D,,,,,42.7086944580078125,-73.198699951171875,anonymous,EN,611fc26ce87d257ac74c0c08,Yes,,"
2","
1","
1","
1",Madras Paneer,testing perception of background noise when learning,,18,Female,"Caucasian/White,Hispanic/Latinx",70%,,ExperimentalSession-CD|ExperimentalSession-GH|ExperimentalSession-IJ|AttentionCheck|ExperimentalSession-AB|ExperimentalSession-EF,Attention Check 1
2021-08-31 12:36:39,2021-08-31 12:42:29,IP Address,73.183.68.72,100,349,True,2021-08-31 12:42:29,R_2UX94sVUriasC9V,,,,,40.618896484375,-79.15899658203125,anonymous,EN,612d890c774262d7afe06380,Yes,"
2","
2","
2","
1","
1",Madras Paneer,How loud the videos were,,26,Female,Caucasian/White,100%,,ExperimentalSession-GH|ExperimentalSession-AB|ExperimentalSession-IJ|AttentionCheck|ExperimentalSession-EF|ExperimentalSession-CD,Attention Check 1
2021-08-31 12:38:31,2021-08-31 12:45:41,IP Address,74.195.239.25,100,429,True,2021-08-31 12:45:41,R_WqgKyeyVzv6snOp,,,,,36.1020965576171875,-97.0635986328125,anonymous,EN,5d16b8aeaa676d001a898b7d,Yes,"
2","
2","
1","
2","
1",Madras Paneer,if sound interferes with retention,,26,Non-binary / third gender,Caucasian/White,100,,ExperimentalSession-EF|AttentionCheck|ExperimentalSession-IJ|ExperimentalSession-AB|ExperimentalSession-CD|ExperimentalSession-GH,Attention Check 1
2021-08-31 12:37:39,2021-08-31 12:47:34,IP Address,69.1.192.27,100,594,True,2021-08-31 12:47:35,R_3lrjqp52zPoRdGY,,,,,33.9980010986328125,-81.029998779296875,anonymous,EN,6110c3b51c8b97bc69979282,Yes,,"
2","
2","
1","
2",Madras Paneer,Hearing issues,,19,Female,Caucasian/White,100,,AttentionCheck|ExperimentalSession-GH|ExperimentalSession-EF|ExperimentalSession-CD|ExperimentalSession-IJ|ExperimentalSession-AB,Attention Check 1
2021-08-31 12:44:00,2021-08-31 12:52:46,IP Address,173.173.54.85,100,525,True,2021-08-31 12:52:46,R_25H1q1URcG0j69M,,,,,31.5821990966796875,-97.1768035888671875,anonymous,EN,612e54d800039b12d1e36cc4,Yes,"
1","
2","
1","
2","
1",Madras Paneer,How we perceive male or female voices and their relation to noise.,,23,Female,Caucasian/White,100%,,ExperimentalSession-CD|ExperimentalSession-GH|AttentionCheck|ExperimentalSession-AB|ExperimentalSession-IJ|ExperimentalSession-EF,Attention Check 1
2021-08-31 12:48:31,2021-08-31 12:55:38,IP Address,207.177.86.253,100,427,True,2021-08-31 12:55:39,R_u9XHWDkPe28NtWV,,,,,42.4075927734375,-94.13539886474609375,anonymous,EN,612e5d357c309333cd22c092,Yes,"
2","
2","
1","
2","
1",Madras Paneer,Noticing trends in sound.,,22,Male,Caucasian/White,100,,ExperimentalSession-IJ|ExperimentalSession-GH|ExperimentalSession-CD|ExperimentalSession-EF|AttentionCheck|ExperimentalSession-AB,Attention Check 1
2021-08-31 12:59:52,2021-08-31 13:02:05,IP Address,73.4.51.193,100,132,True,2021-08-31 13:02:05,R_OkTQugGDGKO6U9P,,,,,42.3473968505859375,-71.158203125,anonymous,EN,612a7b51f5c0574e3a0f4003,Yes,,"
2",,,,Pizza,,,,,,,,ExperimentalSession-GH|AttentionCheck|ExperimentalSession-AB|ExperimentalSession-IJ|ExperimentalSession-CD|ExperimentalSession-EF,Attention Check 1
2021-08-31 12:55:08,2021-08-31 13:03:28,IP Address,76.103.114.37,100,499,True,2021-08-31 13:03:28,R_1kM85VyfdiC4UuG,,,,,38.247802734375,-122.61920166015625,anonymous,EN,6128912a54b917dbca8a3ba5,Yes,"
2","
2","
2",,,Fried Chicken,,,,,,,,ExperimentalSession-IJ|ExperimentalSession-GH|ExperimentalSession-EF|AttentionCheck|ExperimentalSession-AB|ExperimentalSession-CD,Attention Check 1
2021-08-31 12:52:23,2021-08-31 13:07:19,IP Address,47.33.223.141,100,895,True,2021-08-31 13:07:19,R_xozg2DSrkoJSann,,,,,43.607696533203125,-83.949798583984375,anonymous,EN,611886955249806f5abf9780,Yes,"
2","
2","
1","
1","
1",Madras Paneer,The study was about the noise issue I guess.,,42,Male,Caucasian/White,100,,ExperimentalSession-CD|ExperimentalSession-IJ|ExperimentalSession-AB|ExperimentalSession-EF|AttentionCheck|ExperimentalSession-GH,Attention Check 1
2021-08-31 13:02:52,2021-08-31 13:10:30,IP Address,47.134.206.12,100,457,True,2021-08-31 13:10:30,R_wRvTcXXFFWWSymB,,,,,36.20989990234375,-81.67240142822265625,anonymous,EN,612ac29f128e7d83bf91b066,Yes,"
1","
2","
2","
1","
2",Madras Paneer,background noise,The loudness of the speaker,21,Female,Caucasian/White,100,,ExperimentalSession-EF|ExperimentalSession-IJ|AttentionCheck|ExperimentalSession-CD|ExperimentalSession-AB|ExperimentalSession-GH,Attention Check 1
2021-08-31 13:03:09,2021-08-31 13:10:57,IP Address,67.86.161.151,100,468,True,2021-08-31 13:10:58,R_1mxB6ijVmNP22wc,,,,,41.0325927734375,-73.7621002197265625,anonymous,EN,6108def7820f68aa56b0a7a1,Yes,"
2","
2","
1","
2","
1",Madras Paneer,How we notice ambient volume in learning situations,The loudness of the background noise,25,Female,Caucasian/White,100%,,ExperimentalSession-IJ|ExperimentalSession-AB|ExperimentalSession-EF|ExperimentalSession-GH|AttentionCheck|ExperimentalSession-CD,Attention Check 1
