StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Q6,Read,Read Justification,Read Rationale,Build,Build Justification,Build Rationale,Paint,Paint Justification,Paint Rationale,Talk,Talk Justification,Talk Rationale,Zerpie,Zerpie Justification,Zerpie Rationale,Learn,Learn Justification,Learn Rationale,Eat,Eat Justification,Eat Rationale,Dance,Dance Justification,Dance Rationale,Attention Check 1,Attention Check 2,Reflection,Age,Gender,Race,Language,PROLIFIC_PID,ExperimentalSession-Read_DO,ExperimentalSession-Build_DO,ExperimentalSession-Paint_DO,ExperimentalSession-Talk_DO,ExperimentalSession-Zerpie_DO,ExperimentalSession-Learn_DO,ExperimentalSession-Eat_DO,ExperimentalSession-Dance_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Prolific ID here:,Were you able to watch and listen to the video?,Which room should Ryan read a book in?,Why did you choose this room?,,Which room should Ryan build a tower in?,Why did you choose this room?,,Which room should Ryan paint a picture in?,Why did you choose this room?,,Which room should Ryan talk to his friend in?,Why did you choose this room?,,Which room should Ryan learn Zerpie in?,Why did you choose this room?,,Which room should Alex learn the letters of the alphabet in?,Why did you choose this room?,,Which room should Ryan eat lunch in?,Why did you choose this room?,,Which room should Ryan dance in?,Why did you choose this room?,,"Based on the following text, what would you say is your favorite animal? There are thousands of possible choices of favorite animals, and your favorite animal may or may not have made this list. Please select Fish so we know you are paying attention.",What is the name of the child in this game?,What do you think this study was about?,What is your age?,What is your gender?,What is your race?,What percentage of time to you speak/hear English?,PROLIFIC_PID,Experimental Session - Read - Display Order,Experimental Session - Build - Display Order,Experimental Session - Paint - Display Order,Experimental Session - Talk - Display Order,Experimental Session - Zerpie - Display Order,Experimental Session - Learn - Display Order,Experimental Session - Eat - Display Order,Experimental Session - Dance - Display Order
9/21/21 18:09,9/21/21 18:20,IP Address,201.145.221.232,100,663,True,9/21/21 18:20,R_33vBldHizneUqXd,,,,,19.65310669,-99.22119904,anonymous,EN,6144ab1c8dd6027f4bea1ad7,Yes,A,its more peaceful,1,A,sounds there are little kids who can destroy te tower,1,A,sounds there's more people who can provide feedback,1,B,its quieter,1,A,its seems in B they have a toast,7,A,its quieter,1,A,people in there sound more friendly,1,A,sounds people in that room would enjoy some music,1,Fish,Ryan,comprehension of different scenarios and desicion making,21,Male,Hispanic/Latinx,60%,,Explanation|10|Read|Read Justification,Explanation|20|Build|Build Justification,Explanation|15|Paint|Paint Justification,Explanation|25|Talk|Talk Justification,Explanation|20|Zerpie|Zerpie Justification,Explanation|25|Learn|Learn Justification,Explanation|10|Eat|Eat Justification,Explanation|15|Dance|Dance Justification
9/21/21 18:15,9/21/21 18:22,IP Address,68.133.59.95,100,455,True,9/21/21 18:22,R_urzjmFvbm1r4OtP,,,,,42.76029968,-78.7539978,anonymous,EN,614a608da0d60189c41a29b1,Yes,B,Quiet background,1,B,Less background noise,1,A,Randomly selected,6,B,Audio was louder ,1,B,Cultural difference,2,B,Randomly selected,6,B,Randomly selected,6,B,I likes the wall color better,3,Fish,Ryan,Audio of experience or diversity of Ryan’s friends ,29,Female,Caucasian/White,100,,Explanation|15|Read|Read Justification,Explanation|25|Build|Build Justification,Explanation|5|Paint|Paint Justification,Explanation|20|Talk|Talk Justification,Explanation|5|Zerpie|Zerpie Justification,Explanation|5|Learn|Learn Justification,Explanation|5|Eat|Eat Justification,Explanation|15|Dance|Dance Justification
9/21/21 18:21,9/21/21 18:33,IP Address,70.129.56.80,100,701,True,9/21/21 18:33,R_3EiEXQ7xy6e50nB,,,,,38.69760132,-90.36039734,anonymous,EN,614916e0f79d57a57bd220f3,Yes,B,seemed like a better choice,6,B,red is a more appealing color,3,A,i like the color of room A,3,B,the girl in room b seemed like a friend I know,4,B,the 2nd choice is always better,8,A,red is more appealing,3,B,the 2nd room was fancy,7,B,the lady seemed nicer in room B,4,Dog,Ryan,I thought it was really interesting,35,Male,African American/Black,100,,Explanation|5|Read|Read Justification,Explanation|20|Build|Build Justification,Explanation|25|Paint|Paint Justification,Explanation|5|Talk|Talk Justification,Explanation|5|Zerpie|Zerpie Justification,Explanation|5|Learn|Learn Justification,Explanation|20|Eat|Eat Justification,Explanation|20|Dance|Dance Justification
9/21/21 18:25,9/21/21 18:36,IP Address,68.59.90.232,100,691,True,9/21/21 18:36,R_12PcEDw5wMEKt79,,,,,30.39909363,-84.32980347,anonymous,EN,6147d5bd99ebf8718931bf40,Yes,A,I think it is better for Ryan to read in a room with other people his age.,4,B,It sounded as though children were playing with blocks in this room.,1,A,The walls were painted so it might be a better environment to paint in.,3,A,I chose this room because it seemed a little quieter to talk.,1,B,This room seems like a quieter and better environment to learn a new language.,1,B,Room B seemed like a slightly quieter room to be able to concentrate in.,1,B,"I couldn't choose between rooms, they were both the same environment.",6,B,"It was a quieter, less crowded room where Ryan would be able to play his music easier.",1,Fish,Ryan,If people's preferences for room were made on a racial bias.,19,Female,Caucasian/White,100%,,Explanation|25|Read|Read Justification,Explanation|20|Build|Build Justification,Explanation|5|Paint|Paint Justification,Explanation|10|Talk|Talk Justification,Explanation|15|Zerpie|Zerpie Justification,Explanation|5|Learn|Learn Justification,Explanation|5|Eat|Eat Justification,Explanation|15|Dance|Dance Justification
9/21/21 18:30,9/21/21 18:38,IP Address,108.35.213.84,100,482,True,9/21/21 18:38,R_2PooSz78odA9qrz,,,,,40.78860474,-74.16339874,anonymous,EN,613a3365c9a6a2cd5caccb91,Yes,B,green is a nice color wallpaper,3,A,blue is more fitting ,3,A,love the purple,3,B,she seems like a good friend ,4,B,diversity ,2,B,she seemed nice,4,A,diversity,2,A,Indian dancing is cool ,2,Fish,Ryan,racism?,21,Female,Caucasian/White,100%,,Explanation|25|Read|Read Justification,Explanation|25|Build|Build Justification,Explanation|10|Paint|Paint Justification,Explanation|15|Talk|Talk Justification,Explanation|10|Zerpie|Zerpie Justification,Explanation|20|Learn|Learn Justification,Explanation|20|Eat|Eat Justification,Explanation|10|Dance|Dance Justification
9/21/21 18:31,9/21/21 18:40,IP Address,201.138.46.229,100,584,True,9/21/21 18:40,R_1Hk2hJiIMhYDfTb,,,,,19.1835022,-96.14769745,anonymous,EN,60db47093e2683c0a02d1541,Yes,A,Because its less noisy ,1,A,Quiet room ,1,A,Less noise ,1,B,quiet,1,B,Quiet room,1,A,More silent,1,A,Seems quieter ,1,B,The color of the room,3,Fish,Ryan,Child behaviors in noisy rooms  ,23,Male,Hispanic/Latinx,70,,Explanation|5|Read|Read Justification,Explanation|20|Build|Build Justification,Explanation|20|Paint|Paint Justification,Explanation|10|Talk|Talk Justification,Explanation|15|Zerpie|Zerpie Justification,Explanation|15|Learn|Learn Justification,Explanation|5|Eat|Eat Justification,Explanation|5|Dance|Dance Justification
9/21/21 18:31,9/21/21 18:41,IP Address,69.76.232.78,100,616,True,9/21/21 18:41,R_6KjX13hifVT7FoB,,,,,38.85969543,-94.66110229,anonymous,EN,613aabf80c04d8e5d776a61b,Yes,A,I think it is more beneficial to read a book in a quieter room ,1,A,Because i think he would enjoy more building a tower in the room where there are more kids ,1,A,I think he would have more fun painting a picture in room A because of the noises i was hearing ,1,A,He could talk in a nice low voice telling his friend about the show he likes instead of having to shout in the 2nd room where there is too much noise,1,B,I would imagine it would be better for him to learn a language in a room that is quieter instead of chaos,1,A,Because it was relatively quiet in the 1st room and too much noise in the 2nd,1,A,I would like Ryan to go to room A because being a muslim i would be more biased to the muslim girl in the room ,2,B,I feel more comfortable to send Ryan to the room where the lady was from a mixed ethnic background,2,Fish,Ryan,Which room should Ryan go to based on the different things he wants to do ,34,Female,Asian American/Pacific Islander,85,,Explanation|5|Read|Read Justification,Explanation|25|Build|Build Justification,Explanation|25|Paint|Paint Justification,Explanation|20|Talk|Talk Justification,Explanation|15|Zerpie|Zerpie Justification,Explanation|25|Learn|Learn Justification,Explanation|25|Eat|Eat Justification,Explanation|5|Dance|Dance Justification
9/21/21 18:33,9/21/21 18:44,IP Address,165.166.166.64,100,637,True,9/21/21 18:44,R_yQsPZ8HpY8AP2OB,,,,,33.9980011,-81.02999878,anonymous,EN,6149471fe209bfec53e1ed60,Yes,A,the left woman looked like a teacher. Reading with a teacher is better because Ryan will be more focused.,4,B,The person on the right seems smarter and more knowledgeable in tower building.,4,B,It just felt right. The lady on the right seemed happier.,4,B,I like the color blue on the wall.,3,A,She offered first.,8,A,I personally think that younger teachers are better than older ones.,4,A,Eating with new people that are of a different culture is good for being a well rounded person.,2,B,The girl on the right seemed like a better dancer.,4,Fish,Ryan,"I think this study was about making decisions based on age, race, or culture.",18,Male,Caucasian/White,97,,Explanation|10|Read|Read Justification,Explanation|15|Build|Build Justification,Explanation|5|Paint|Paint Justification,Explanation|5|Talk|Talk Justification,Explanation|15|Zerpie|Zerpie Justification,Explanation|10|Learn|Learn Justification,Explanation|20|Eat|Eat Justification,Explanation|5|Dance|Dance Justification
9/21/21 18:40,9/21/21 18:47,IP Address,128.119.202.104,100,458,True,9/21/21 18:47,R_yHJ092Ib9GigUuJ,,,,,42.3894043,-72.52649689,anonymous,EN,61474a17f798ccc4e40383da,Yes,A,More kids are quiet there,1,A,other children are building blocks in that room so it would be more considerate to go there instead of B,1,B,"There's almost no sound, which probably means the others won't mind him painting",1,A,It's considered more polite to chat in this room where people are talking,1,A,"There's slightly more noise in B, so A is better for concentration",1,A,More quiet=better concentration,1,A,"Lunch is usually accompanied by talking, so probably the noisier room",1,B,It's quieter so you can learn to dance better,1,Fish,Ryan,"I think it was about measuring social cues in children since they have to take consideration of what's going on in each room. For example, more noise probably means that louder activities are okay.",20,Female,Asian American/Pacific Islander,100,,Explanation|5|Read|Read Justification,Explanation|25|Build|Build Justification,Explanation|15|Paint|Paint Justification,Explanation|15|Talk|Talk Justification,Explanation|10|Zerpie|Zerpie Justification,Explanation|25|Learn|Learn Justification,Explanation|15|Eat|Eat Justification,Explanation|15|Dance|Dance Justification
9/21/21 18:39,9/21/21 18:48,IP Address,24.11.242.28,100,548,True,9/21/21 18:48,R_R45rnQpLewDPsBP,,,,,36.21949768,-86.77400208,anonymous,EN,614920d4e7ca7a4887bcb227,Yes,B,It seems quiet and calm,1,A,His tower would get knocked over in room B,7,A,The room is lively and the commotion can be good inspiration for painting,1,A,Room B's paint is very bright and distracting,3,A,having conversation is the best way to learn a language and that requires people,1,A,It's quiet and the teacher seems knowledgeable ,1,B,lunch is a time to rest and the colors and sounds are soothing,3,B,The girl who opened the door looks like she knows how to dance and would join him. ,4,Fish,Ryan,10/10,29,Female,Caucasian/White,90%,,Explanation|20|Read|Read Justification,Explanation|10|Build|Build Justification,Explanation|15|Paint|Paint Justification,Explanation|20|Talk|Talk Justification,Explanation|25|Zerpie|Zerpie Justification,Explanation|25|Learn|Learn Justification,Explanation|15|Eat|Eat Justification,Explanation|5|Dance|Dance Justification
