StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Q6,Attention Check 1,Attention Check 2,bloy_instrumental,lorst_instrumental,fraw_instrumental,norl_instrumental,terb_instrumental,yerk_instrumental,jom_instrumental,simon_instrumental,bloy_white,lorst_white,fraw_white,norl_white,terb_white,yerk_white,jom_white,simon_white,bloy_silence,lorst_silence,fraw_silence,norl_silence,terb_silence,yerk_silence,jom_silence,simon_silence,bloy_mtb5,lorst_mtb5,fraw_mtb5,norl_mtb5,terb_mtb5,yerk_mtb5,jom_mtb5,simon_mtb5,bloy_binary,bloy_sim,lorst_binary,lorst_sim,Q223,fraw_sim,norl_binary,norl_sim,terb_binary,terb_sim,yerk_binary,yerk_sim,jom_binary,jom_sim,simon_binary,simon_sim,Reflection,Age,Gender,Race,Language_1,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Prolific ID here:,Were you able to watch and listen to the video?,"Based on the following text, what would you say is your favorite activity? There are thousands of possible choices of favorite activity, and your favorite activity may or may not have made this list. Please select Hiking so we know you are paying attention.",What is 5-2?,I could bloy in this room. Bloying is when you bounce two balls at the same time.,I could lorst in this room. Lorsting is when you and your friend are talking at the same time but about different things.,I could fraw in this room. Frawing is when someone reads you your favorite bedtime story right before you fall asleep.,"I could norl in this room. Norling is when you are trying to remember where you put something you lost, like your shoes or your favorite toy. is when you are trying to remember where you put something you lost, like your shoes or your wallet.",I could terb in this room. Terbing is when you tell someone else a secret so quietly that no one else can hear it.,I could yerk in this room. Yerking is when you eat dessert before eating dinner.,I could jom in this room. Jomming is when you jump around only on your tiptoes.,I could simon in this room. Simoning is when you play 'Simon Says' in the dark.,I could bloy in this room. Bloying is when you bounce two balls at the same time.,I could lorst in this room. Lorsting is when you and your friend are talking at the same time but about different things.,I could fraw in this room. Frawing is when someone reads you your favorite bedtime story right before you fall asleep.,"I could norl in this room. Norling is when you are trying to remember where you put something you lost, like your shoes or your favorite toy. is when you are trying to remember where you put something you lost, like your shoes or your wallet.",I could terb in this room. Terbing is when you tell someone else a secret so quietly that no one else can hear it.,I could yerk in this room. Yerking is when you eat dessert before eating dinner.,I could jom in this room. Jomming is when you jump around only on your tiptoes.,I could simon in this room. Simoning is when you play 'Simon Says' in the dark.,I could bloy in this room. Bloying is when you bounce two balls at the same time.,I could lorst in this room. Lorsting is when you and your friend are talking at the same time but about different things.,I could fraw in this room. Frawing is when someone reads you your favorite bedtime story right before you fall asleep.,"I could norl in this room. Norling is when you are trying to remember where you put something you lost, like your shoes or your favorite toy. is when you are trying to remember where you put something you lost, like your shoes or your wallet.",I could terb in this room. Terbing is when you tell someone else a secret so quietly that no one else can hear it.,I could yerk in this room. Yerking is when you eat dessert before eating dinner.,I could jom in this room. Jomming is when you jump around only on your tiptoes.,I could simon in this room. Simoning is when you play 'Simon Says' in the dark.,I could bloy in this room. Bloying is when you bounce two balls at the same time.,I could lorst in this room. Lorsting is when you and your friend are talking at the same time but about different things.,I could fraw in this room. Frawing is when someone reads you your favorite bedtime story right before you fall asleep.,"I could norl in this room. Norling is when you are trying to remember where you put something you lost, like your shoes or your favorite toy. is when you are trying to remember where you put something you lost, like your shoes or your wallet.",I could terb in this room. Terbing is when you tell someone else a secret so quietly that no one else can hear it.,I could yerk in this room. Yerking is when you eat dessert before eating dinner.,I could jom in this room. Jomming is when you jump around only on your tiptoes.,I could simon in this room. Simoning is when you play 'Simon Says' in the dark.,Does bloying remind you of the name of an activity you already know? Bloying is when you bounce two balls at the same time.,What is the name of that activity?,Does lorsting remind you of the name of an activity you already know? Lorsting is when you and your friend are talking at the same time but about different things.,What is the name of that activity?,Does frawing remind you of the name of an activity you already know? Frawing is when someone reads you your favorite bedtime story right before you fall asleep.,What is the name of that activity?,"Does norling remind you of the name of an activity you already know? Norling is when you are trying to remember where you put something you lost, like your shoes or your wallet.",What is the name of that activity?,Does terbing remind you of the name of an activity you already know? Terbing is when you tell someone else a secret so quietly that no one else can hear it.,What is the name of that activity?,Does yerking remind you of the name of an activity you already know? Yerking is when you eat dessert before eating dinner.,What is the name of that activity?,Does jomming remind you of the name of an activity you already know? Jomming is when you jump around only on your tiptoes.,What is the name of that activity?,Does simoning remind you of the name of an activity you already know? Simoning is when you play Simon Says in the dark.,What is the name of that activity?,What do you think this study was about?,What is your age?,What is your gender?,What is your race?,What percentage of time to you speak/hear English? - Move the slider to reflect your response,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID9""}","{""ImportId"":""QID134""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID246""}","{""ImportId"":""QID247""}","{""ImportId"":""QID248""}","{""ImportId"":""QID249""}","{""ImportId"":""QID250""}","{""ImportId"":""QID251""}","{""ImportId"":""QID252""}","{""ImportId"":""QID253""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240""}","{""ImportId"":""QID241""}","{""ImportId"":""QID242""}","{""ImportId"":""QID243""}","{""ImportId"":""QID244""}","{""ImportId"":""QID255""}","{""ImportId"":""QID256""}","{""ImportId"":""QID257""}","{""ImportId"":""QID258""}","{""ImportId"":""QID259""}","{""ImportId"":""QID260""}","{""ImportId"":""QID261""}","{""ImportId"":""QID262""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221_TEXT""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223_TEXT""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225_TEXT""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227_TEXT""}","{""ImportId"":""QID228""}","{""ImportId"":""QID229_TEXT""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231_TEXT""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233_TEXT""}","{""ImportId"":""QID234""}","{""ImportId"":""QID235_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""PROLIFIC_PID""}"
2022-10-12 15:07:45,2022-10-12 15:14:02,0,96.242.79.87,100,377,1,2022-10-12 15:14:02,R_2topTOgZ3E1lp1v,,,,,40.7304,-74.2727,anonymous,EN,5fa315662ca5b25d05ae8236,1,1,1,5,6,1,4,1,4,4,2,3,3,6,3,7,2,4,2,6,6,4,4,6,4,5,4,5,6,4,4,4,3,4,4,1,toying,2,,1,drawing,2,,2,,1,jerking,1,jamming,2,,really not sure!,42,2,3,100,
2022-10-12 15:09:01,2022-10-12 15:17:29,0,70.120.59.84,100,507,1,2022-10-12 15:17:30,R_33wf26OQyb7re65,,,,,29.521,-98.362,anonymous,EN,60fceb908212191d4efd354e,1,1,1,6,3,1,6,2,6,6,1,6,3,2,4,3,5,6,1,6,5,7,7,2,6,6,1,6,6,1,2,2,6,6,1,2,,2,,1,Storytelling,1,Remembering,1,Whispering,2,,2,,2,,"I have absolutely no idea ",25,2,3,100,
2022-10-12 15:11:26,2022-10-12 15:17:36,0,67.81.41.98,100,370,1,2022-10-12 15:17:37,R_3Jyid5mazj4gng5,,,,,40.6877,-73.9267,anonymous,EN,611bf4db6ad97cc713fca37d,1,1,1,6,3,2,6,2,6,6,6,6,3,3,6,2,6,6,6,6,6,6,6,6,6,6,5,6,2,1,3,1,6,6,5,1,Jugglgin,2,,1,"Story time ",2,,1,Whispering,2,,2,,2,,I have no idea!,32,2,3,100,
2022-10-12 15:04:00,2022-10-12 15:18:08,0,32.211.205.219,100,848,1,2022-10-12 15:18:09,R_124q0XwjmnaGMqL,,,,,41.1225,-73.4425,anonymous,EN,5c5198da659655000168955d,1,1,1,7,6,4,6,3,5,7,3,6,4,1,6,1,6,6,3,7,7,4,5,5,7,6,2,4,6,1,2,1,3,3,1,2,,1,Gosiping.,2,,1,Searching,1,Whispering,2,,1,Hopping,2,,People's interpretation on activities they can do under various outside factors.,45,1,3,95,
2022-10-12 15:10:06,2022-10-12 15:18:17,0,173.22.176.137,100,490,1,2022-10-12 15:18:17,R_3rJkXQliPRt0pTK,,,,,41.6892,-93.0534,anonymous,EN,6346ef07e66baf6eb75bc5f8,1,1,1,5,3,2,4,5,5,7,2,7,5,1,5,7,5,5,3,7,4,7,7,2,7,7,7,3,7,1,2,1,4,3,1,1,Bouncing,2,,1,Falling asleep,2,,1,Telling,2,,1,Jamming,1,Simon Says,Understanding how soundscapes alter behavior.,29,3,3,100,
2022-10-12 15:11:06,2022-10-12 15:20:49,0,148.74.178.11,100,582,1,2022-10-12 15:20:49,R_tLE03cc6zqzpWUx,,,,,41.7868,-73.9063,anonymous,EN,5d4a8ae84156b700012841b4,1,1,1,6,5,4,6,5,5,6,4,5,6,6,6,6,4,5,6,6,6,6,6,7,5,6,7,6,7,3,5,7,6,6,4,2,,1,Usually it's a drinking game,2,,2,,2,,2,,2,,1,Copycat,Maybe how sound effects perception?,35,2,3,100,
2022-10-12 15:13:25,2022-10-12 15:20:58,0,73.164.206.55,100,452,1,2022-10-12 15:20:58,R_2ahmQQ12Rr9Rpi2,,,,,45.461,-122.7052,anonymous,EN,6171a0b9367669bd8d232674,1,1,1,7,3,1,3,3,7,6,2,6,1,1,1,1,6,4,1,7,7,5,7,7,7,7,2,4,1,1,1,1,6,7,1,1,Playing,1,"Jowsting ",1,Frawning,2,,2,,1,Yanking,1,Jamming,1,Summoning,I have no idea,25,2,3,100,
2022-10-12 15:06:33,2022-10-12 15:21:57,0,68.14.12.244,100,924,1,2022-10-12 15:21:58,R_3fjY5SWaaFojwXS,,,,,41.815,-71.3663,anonymous,EN,5c5219ba5acab700012601e2,1,1,1,2,6,4,4,7,7,5,1,2,7,3,2,7,5,4,4,1,7,7,6,2,7,5,2,2,6,1,1,6,6,5,2,1,juggling,2,,1,Listening to a bedtime story.,1,Challenging my forgetfulness,1,"In most of these cases, using noise to cover up telling a secret so no one hears it.",1,"Just that, switching up dessert and dinner.",2,,2,,Not at all sure. I keep thinking there are names for the activities that I don't know.,72,2,3,100,
