StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Q6,Attention Check 1,Attention Check 2,clop_instrumental,gobb_instrumental,fraw_instrumental,norl_instrumental,terb_instrumental,plip_instrumental,surk_instrumental,rast_instrumental,clop_mtb,gobb_mtb,fraw_mtb,norl_mtb,terb_mtb,plip_mtb,surk_mtb,rast_mtb,clop_silence,gobb_silence,fraw_silence,norl_silence,terb_silence,plip_silence,surk_silence,rast_silence,clop_white,gobb_white,fraw_white,norl_white,terb_white,plip_white,surk_white,rast_white,clop_binary,clop_sim,gobb_binary,gobb_sim,fraw_binary,fraw_sim,norl_binary,norl_sim,terb_binary,terb_sim,plip_binary,plip_sim,surk_binary,surk_sim,rast_binary,rast_sim,Reflection,Age,Gender,Race,Language_1,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Prolific ID here:,Were you able to watch and listen to the video?,"Based on the following text, what would you say is your favorite activity? There are thousands of possible choices of favorite activity, and your favorite activity may or may not have made this list. Please select Hiking so we know you are paying attention.",What is 5-2?,I could clop in this room. Clopping is when you don’t want anyone else to know that your stomach is grumbling and making noises because you’re hungry.,I could gobb in this room. Gobbing is when you are looking for something to do because you are really bored.,I could fraw in this room. Frawing is when someone reads you your favorite bedtime story right before you fall asleep.,"I could norl in this room. Norling is when you think really hard about where you put something important you lost, something you need.",I could terb in this room. Terbing is when you tell someone an important secret when there are other people around but you don’t want anyone else to hear.,I could plip in this room. Plipping is when you spin around in circles until you get really dizzy.,I could surk in this room. Surking is when you slide across a slippery floor with your socks on so you go really fast.,I could rast in this room. Rasting is when you tap your fork and knife against your plate like a drum.,I could clop in this room. Clopping is when you don’t want anyone else to know that your stomach is grumbling and making noises because you’re hungry.,I could gobb in this room. Gobbing is when you are looking for something to do because you are really bored.,I could fraw in this room. Frawing is when someone reads you your favorite bedtime story right before you fall asleep.,"I could norl in this room. Norling is when you think really hard about where you put something important you lost, something you need.",I could terb in this room. Terbing is when you tell someone an important secret when there are other people around but you don’t want anyone else to hear.,I could plip in this room. Plipping is when you spin around in circles until you get really dizzy.,I could surk in this room. Surking is when you slide across a slippery floor with your socks on so you go really fast.,I could rast in this room. Rasting is when you tap your fork and knife against your plate like a drum.,I could clop in this room. Clopping is when you don’t want anyone else to know that your stomach is grumbling and making noises because you’re hungry.,I could gobb in this room. Gobbing is when you are looking for something to do because you are really bored.,I could fraw in this room. Frawing is when someone reads you your favorite bedtime story right before you fall asleep.,"I could norl in this room. Norling is when you think really hard about where you put something important you lost, something you need.",I could terb in this room. Terbing is when you tell someone an important secret when there are other people around but you don’t want anyone else to hear.,I could plip in this room. Plipping is when you spin around in circles until you get really dizzy.,I could surk in this room. Surking is when you slide across a slippery floor with your socks on so you go really fast.,I could rast in this room. Rasting is when you tap your fork and knife against your plate like a drum.,I could clop in this room. Clopping is when you don’t want anyone else to know that your stomach is grumbling and making noises because you’re hungry.,I could gobb in this room. Gobbing is when you are looking for something to do because you are really bored.,I could fraw in this room. Frawing is when someone reads you your favorite bedtime story right before you fall asleep.,"I could norl in this room. Norling is when you think really hard about where you put something important you lost, something you need.",I could terb in this room. Terbing is when you tell someone an important secret when there are other people around but you don’t want anyone else to hear.,I could plip in this room. Plipping is when you spin around in circles until you get really dizzy.,I could surk in this room. Surking is when you slide across a slippery floor with your socks on so you go really fast.,I could rast in this room. Rasting is when you tap your fork and knife against your plate like a drum.,Does clopping remind you of the name of an activity you already know? Clopping is when you don’t want anyone else to know that your stomach is grumbling and making noises because you’re hungry.,What is the name of that activity?,Does gobbing remind you of the name of an activity you already know? Gobbing is when you are looking for something to do because you are really bored.,What is the name of that activity?,Does frawing remind you of the name of an activity you already know? Frawing is when someone reads you your favorite bedtime story right before you fall asleep.,What is the name of that activity?,"Does norling remind you of the name of an activity you already know? Norling is when you are trying to remember where you put something you lost, like your shoes or your wallet.",What is the name of that activity?,Does terbing remind you of the name of an activity you already know? Terbing is when you tell someone an important secret when there are other people around but you don’t want anyone else to hear.,What is the name of that activity?,Does plipping remind you of the name of an activity you already know? Plipping is when you spin around in circles until you get really dizzy.,What is the name of that activity?,Does surking remind you of the name of an activity you already know? Surking is when you slide across a slippery floor with your socks on so you go really fast.,What is the name of that activity?,Does rasting remind you of the name of an activity you already know? Rasting is when you tap your fork and knife against your plate like a drum.,What is the name of that activity?,What do you think this study was about?,What is your age?,What is your gender?,What is your race?,What percentage of time to you speak/hear English? - Move the slider to reflect your response,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID9""}","{""ImportId"":""QID134""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID282""}","{""ImportId"":""QID283""}","{""ImportId"":""QID284""}","{""ImportId"":""QID285""}","{""ImportId"":""QID286""}","{""ImportId"":""QID287""}","{""ImportId"":""QID288""}","{""ImportId"":""QID289""}","{""ImportId"":""QID273""}","{""ImportId"":""QID274""}","{""ImportId"":""QID275""}","{""ImportId"":""QID276""}","{""ImportId"":""QID277""}","{""ImportId"":""QID278""}","{""ImportId"":""QID279""}","{""ImportId"":""QID280""}","{""ImportId"":""QID264""}","{""ImportId"":""QID265""}","{""ImportId"":""QID266""}","{""ImportId"":""QID267""}","{""ImportId"":""QID268""}","{""ImportId"":""QID269""}","{""ImportId"":""QID270""}","{""ImportId"":""QID271""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221_TEXT""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223_TEXT""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225_TEXT""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227_TEXT""}","{""ImportId"":""QID228""}","{""ImportId"":""QID229_TEXT""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231_TEXT""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233_TEXT""}","{""ImportId"":""QID234""}","{""ImportId"":""QID235_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""PROLIFIC_PID""}"
2022-10-14 11:52:16,2022-10-14 12:03:52,0,100.38.138.116,100,696,1,2022-10-14 12:03:52,R_2rIMga8VGHJnQiO,,,,,40.6673,-73.4593,anonymous,EN,61017e76a0494146f7fdff65,1,1,1,5,5,2,3,5,6,5,5,6,5,1,2,3,1,1,3,1,3,6,5,1,1,1,1,4,2,1,1,4,3,3,3,1,Horseback riding,1,Gobbling food,2,,2,,2,,1,Plopping,1,"Shirking ",1,Rasping,"How words and sounds shape our perception of an environment or space ",36,2,3,90,
2022-10-14 12:02:26,2022-10-14 12:10:59,0,68.134.18.242,100,512,1,2022-10-14 12:10:59,R_x0gUFPbcbvKEbsd,,,,,39.2124,-76.8776,anonymous,EN,5c4f6da82090bd0001c43548,1,1,1,4,2,2,3,2,6,6,6,4,1,2,1,2,1,1,6,2,1,5,2,2,1,1,5,6,6,1,4,2,6,6,6,2,,2,,2,,2,,2,,2,,2,,2,,I don't know.,41,2,1,90,
2022-10-14 12:18:49,2022-10-14 12:26:34,0,107.77.205.57,100,464,1,2022-10-14 12:26:34,R_2v35hVf7jP4ZVjC,,,,,47.6631,-122.3029,anonymous,EN,60fe01e9987ae67d5d5719ec,1,1,1,3,5,4,5,5,6,6,4,6,3,1,2,5,3,2,5,1,3,7,5,1,4,5,2,5,2,5,5,3,4,4,3,1,Clapping,2,,1,Frowning,2,,2,,1,Spinning,1,Surfing,1,Rapping,How noise levels affect our ability to do certain actions,19,1,3,90,
2022-10-14 12:18:14,2022-10-14 12:26:49,0,172.58.61.212,100,515,1,2022-10-14 12:26:50,R_27CpNekBEVFQh6U,,,,,39.696,-105.0346,anonymous,EN,633536b6623ac50e758aa476,1,0,1,7,5,1,3,7,5,2,7,7,7,1,3,7,6,3,6,1,3,7,3,1,3,2,3,6,2,5,1,4,2,5,1,1,survey,1,lost and found,1,bedtime story,1,search & find,1,whisper,1,ring around the rosey,1,"sliding ",1,tapping,"different, i really liked it",32,2,3,100,
2022-10-14 12:21:01,2022-10-14 12:29:02,0,52.124.39.33,100,481,1,2022-10-14 12:29:03,R_1LUR7NtFGsI4Q19,,,,,44.9764,-93.224,anonymous,EN,60fcc8ce381d5a4a9269d737,1,1,1,3,5,5,4,4,7,3,6,6,1,1,2,5,3,3,6,1,6,6,5,2,6,5,2,4,5,6,3,4,5,5,4,2,,1,"Talking ",2,,2,,2,,2,,2,,2,,"Seeing what activities can be done behind different doors based off of the noises being heard. ",20,2,3,100,
2022-10-14 12:15:32,2022-10-14 12:29:29,0,172.125.78.28,100,836,1,2022-10-14 12:29:30,R_2YazDHNn2FP4F5r,,,,,37.3793,-122.12,anonymous,EN,5efc24acc8e96b1e45596223,1,1,1,5,4,5,4,5,3,4,4,5,4,4,3,3,4,3,4,3,4,5,4,5,4,3,4,4,5,4,3,5,4,3,4,2,,2,,2,,2,,2,,2,,2,,2,,I think the study is about the short videos and answer questions,30,1,3,100,
2022-10-14 12:17:08,2022-10-14 12:30:57,0,69.55.127.60,100,828,1,2022-10-14 12:30:57,R_tKHtMPwYDCcjLvr,,,,,36.3438,-85.6355,anonymous,EN,5e793f718dcced107962505b,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,6,6,2,1,3,5,3,1,6,7,1,5,6,6,7,5,5,5,2,1,Social Anxiety,2,,2,,1,terrible short-term memory,1,trusting,2,,2,,1,Annoy everyone,I'm not sure.,26,1,3,90,
2022-10-14 12:24:17,2022-10-14 12:33:24,0,67.165.146.201,100,547,1,2022-10-14 12:33:24,R_2qpVat8nuZqjov6,,,,,41.5412,-88.0546,anonymous,EN,57af9cdda169b50001a434e3,1,1,1,2,4,1,1,2,6,5,7,6,5,1,1,2,1,2,1,1,7,3,6,1,2,1,1,5,7,3,6,4,2,3,3,2,,2,,2,,1,snorkling,2,,1,piping (applying a border on a frosted cake),1,sulking,1,fasting,Something about language. I don't know enough about the study of language to be more specific.,41,2,3,91,
