Subject ID,Test Date,Gender,Race,Age Years,Age Months,Arm,Platform,Included,Condition,Trial,Response ,Rationale,Experimenter,Notes
P101,11/09/2021,Male,Asian American/Pacific Islander,5,62,Pilot,Zoom,No,C1,1,A,3,RW,
P101,11/09/2021,Male,Asian American/Pacific Islander,5,62,Pilot,Zoom,No,C1,2,B,3,RW,
P101,11/09/2021,Male,Asian American/Pacific Islander,5,62,Pilot,Zoom,No,C1,3,A,6,RW,
P101,11/09/2021,Male,Asian American/Pacific Islander,5,62,Pilot,Zoom,No,C1,4,B,4,RW,
P102,11/09/2021,Male,Caucasian/White,4,54,Pilot,Bing,No,C1,1,,,RW,Video did not record
P102,11/09/2021,Male,Caucasian/White,4,54,Pilot,Bing,No,C1,2,,,RW,Video did not record
P102,11/09/2021,Male,Caucasian/White,4,54,Pilot,Bing,No,C1,3,,,RW,Video did not record
P102,11/09/2021,Male,Caucasian/White,4,54,Pilot,Bing,No,C1,4,,,RW,Video did not record
P103,11/09/2021,Male,Caucasian/White,4,55,Pilot,Bing,No,C1,1,2,1,RW,Rooms were labeled 1 circle and B
P103,11/09/2021,Male,Caucasian/White,4,55,Pilot,Bing,No,C1,2,1,1,RW,
P103,11/09/2021,Male,Caucasian/White,4,55,Pilot,Bing,No,C1,3,2,1,RW,
P103,11/09/2021,Male,Caucasian/White,4,55,Pilot,Bing,No,C1,4,1,1,RW,
P104,11/09/2021,Male,African American/Black,5,61,Main,Bing,Yes,C1,1,2,8,RW,Rooms were labeled 1 circle and B
P104,11/09/2021,Male,African American/Black,5,61,Main,Bing,Yes,C1,2,1,3,RW,
P104,11/09/2021,Male,African American/Black,5,61,Main,Bing,Yes,C1,3,2,3,RW,
P104,11/09/2021,Male,African American/Black,5,61,Main,Bing,Yes,C1,4,1,3,RW,
P105,11/09/2021,Male,Not Provided,5,60,Main,Bing,Yes,C2,1,2,5,RW,
P105,11/09/2021,Male,Not Provided,5,60,Main,Bing,Yes,C2,2,1,7,RW,
P105,11/09/2021,Male,Not Provided,5,60,Main,Bing,Yes,C2,3,1,7,RW,
P105,11/09/2021,Male,Not Provided,5,60,Main,Bing,Yes,C2,4,2,5,RW,
P106,11/16/2021,Female,"Asian American/Pacific Islander, Caucasian/White",5,62,Main,Bing,Yes,C3,1,1,1,RW,
P106,11/16/2021,Female,"Asian American/Pacific Islander, Caucasian/White",5,62,Main,Bing,Yes,C3,2,2,1,RW,"""There's a lot of people in there so maybe they can help him learn his letters"""
P106,11/16/2021,Female,"Asian American/Pacific Islander, Caucasian/White",5,62,Main,Bing,Yes,C3,3,2,1,RW,
P106,11/16/2021,Female,"Asian American/Pacific Islander, Caucasian/White",5,62,Main,Bing,Yes,C3,4,1,1,RW,"""It sounded like they were already building blocks"""
P107,11/16/2021,Male,Asian American/Pacific Islander,5,60,Main,Bing,Yes,C4,1,2,3,RW,
P107,11/16/2021,Male,Asian American/Pacific Islander,5,60,Main,Bing,Yes,C4,2,1,1,RW,"""Just like that""/ ""Better music"""
P107,11/16/2021,Male,Asian American/Pacific Islander,5,60,Main,Bing,Yes,C4,3,2,8,RW,"""Better books"""
P107,11/16/2021,Male,Asian American/Pacific Islander,5,60,Main,Bing,Yes,C4,4,2,8,RW,"""I think there are black blocks in there"""
P108,11/16/2021,Male,Asian American/Pacific Islander,5,61,Main,Bing,Yes,C1,1,2,2,RW,"""The people said this room is for Ryan"""
P108,11/16/2021,Male,Asian American/Pacific Islander,5,61,Main,Bing,Yes,C1,2,1,8,RW,"""he was already in room 2"""
P108,11/16/2021,Male,Asian American/Pacific Islander,5,61,Main,Bing,Yes,C1,3,2,8,RW,"""he was already in room 1"""
P108,11/16/2021,Male,Asian American/Pacific Islander,5,61,Main,Bing,Yes,C1,4,1,8,RW,"""he was already in room 2"""
P109,11/16/2021,Male,Caucasian/White,5,62,Main,Bing,No,C2,1,2,8,RW,"""my baby (brother) is 2"""
P109,11/16/2021,Male,Caucasian/White,5,62,Main,Bing,No,C2,2,2,8,RW,HF ASD
P109,11/16/2021,Male,Caucasian/White,5,62,Main,Bing,No,C2,3,1,8,RW,
